<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PID,20140919,5.3000,6.0000,5.0000,5.0000,1300,5.3000,6.0000,5.0000,5.0000,0,0,0
PID,20140918,4.5000,5.5000,4.5000,5.5000,1400,4.5000,5.5000,4.5000,5.5000,0,0,0
PID,20140917,5.0000,5.0000,5.0000,5.0000,100,5.0000,5.0000,5.0000,5.0000,0,0,0
PID,20140916,6.4000,6.4000,5.4000,5.4000,1000,6.4000,6.4000,5.4000,5.4000,0,0,0
PID,20140915,4.9000,5.9000,4.9000,5.9000,500,4.9000,5.9000,4.9000,5.9000,0,0,0
PID,20140911,6.6000,6.6000,5.4000,5.4000,1300,6.6000,6.6000,5.4000,5.4000,0,0,0
PID,20140910,6.1000,6.1000,5.2000,6.0000,1300,6.1000,6.1000,5.2000,6.0000,0,0,0
PID,20140905,6.8000,6.8000,5.7000,5.7000,2300,6.8000,6.8000,5.7000,5.7000,0,800,0
PID,20140829,6.3000,6.3000,6.3000,6.3000,200,6.3000,6.3000,6.3000,6.3000,0,0,0
PID,20140319,7.0000,7.0000,7.0000,7.0000,100,7.0000,7.0000,7.0000,7.0000,0,0,0
PID,20130711,6.9000,6.9000,6.9000,6.9000,100,6.9000,6.9000,6.9000,6.9000,0,0,0
PID,20130321,6.9000,6.9000,6.9000,6.9000,200,6.9000,6.9000,6.9000,6.9000,0,0,0
PID,20130129,7.0000,7.0000,7.0000,7.0000,100,7.0000,7.0000,7.0000,7.0000,0,0,0
PID,20130115,6.8000,6.8000,6.8000,6.8000,500,6.8000,6.8000,6.8000,6.8000,0,500,0
PID,20130107,6.9000,6.9000,6.9000,6.9000,1000,6.9000,6.9000,6.9000,6.9000,0,1000,0
PID,20121224,7.0000,7.0000,7.0000,7.0000,100,7.0000,7.0000,7.0000,7.0000,0,0,0
PID,20121210,6.7000,6.7000,6.7000,6.7000,200,6.7000,6.7000,6.7000,6.7000,0,0,0
PID,20121204,7.1000,7.1000,7.1000,7.1000,100,7.1000,7.1000,7.1000,7.1000,0,0,0
PID,20121127,6.9000,6.9000,6.9000,6.9000,200,6.9000,6.9000,6.9000,6.9000,0,0,0
PID,20121122,11.0000,11.0000,6.5000,6.5000,700,11.0000,11.0000,6.5000,6.5000,0,0,0
