<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
S27,20120711,2.5000,2.5000,2.5000,2.5000,100,2.5000,2.5000,2.5000,2.5000,0,0,0
S27,20120710,2.6000,2.6000,2.6000,2.6000,800,2.6000,2.6000,2.6000,2.6000,0,0,0
S27,20120709,2.6000,2.6000,2.6000,2.6000,5000,2.6000,2.6000,2.6000,2.6000,0,0,0
S27,20120706,2.6000,2.6000,2.6000,2.6000,4000,2.6000,2.6000,2.6000,2.6000,0,0,0
S27,20120705,2.6000,2.7000,2.5000,2.5000,1000,2.6000,2.7000,2.5000,2.5000,0,0,0
S27,20120704,2.6000,2.6000,2.6000,2.6000,100,2.6000,2.6000,2.6000,2.6000,0,0,0
S27,20120703,2.7000,2.7000,2.7000,2.7000,7400,2.7000,2.7000,2.7000,2.7000,0,0,0
S27,20120702,2.7000,2.7000,2.7000,2.7000,1500,2.7000,2.7000,2.7000,2.7000,0,0,0
S27,20120629,2.9000,2.9000,2.9000,2.9000,1400,2.9000,2.9000,2.9000,2.9000,0,0,0
S27,20120612,3.1000,3.1000,3.1000,3.1000,100,3.1000,3.1000,3.1000,3.1000,0,0,0
S27,20120529,2.7000,2.9000,2.7000,2.9000,1100,2.7000,2.9000,2.7000,2.9000,0,0,0
S27,20120528,2.8000,2.8000,2.8000,2.8000,1500,2.8000,2.8000,2.8000,2.8000,0,0,0
S27,20120525,2.7000,2.7000,2.7000,2.7000,100,2.7000,2.7000,2.7000,2.7000,0,0,0
S27,20120524,2.7000,2.7000,2.6000,2.6000,5000,2.7000,2.7000,2.6000,2.6000,0,0,0
S27,20120523,2.8000,2.8000,2.7000,2.7000,1200,2.8000,2.8000,2.7000,2.7000,0,0,0
S27,20120522,2.8000,2.8000,2.8000,2.8000,1500,2.8000,2.8000,2.8000,2.8000,0,0,0
S27,20120521,3.0000,3.0000,3.0000,3.0000,800,3.0000,3.0000,3.0000,3.0000,0,0,0
S27,20120518,2.9000,2.9000,2.9000,2.9000,100,2.9000,2.9000,2.9000,2.9000,0,0,0
S27,20120516,3.0000,3.0000,3.0000,3.0000,5700,3.0000,3.0000,3.0000,3.0000,0,0,0
S27,20120515,3.2000,3.2000,3.2000,3.2000,1100,3.2000,3.2000,3.2000,3.2000,0,0,0
S27,20120514,3.2000,3.2000,3.2000,3.2000,200,3.2000,3.2000,3.2000,3.2000,0,0,0
S27,20120511,3.1000,3.1000,3.1000,3.1000,12100,3.1000,3.1000,3.1000,3.1000,0,0,0
S27,20120510,2.9000,2.9000,2.9000,2.9000,5500,2.9000,2.9000,2.9000,2.9000,0,0,0
S27,20120509,2.8000,2.8000,2.8000,2.8000,6900,2.8000,2.8000,2.8000,2.8000,0,0,0
S27,20120508,3.3000,3.3000,2.9000,2.9000,7700,3.3000,3.3000,2.9000,2.9000,0,0,0
S27,20120507,3.1000,3.1000,3.0000,3.1000,8900,3.1000,3.1000,3.0000,3.1000,0,0,0
S27,20120504,2.9000,3.0000,2.9000,3.0000,1100,2.9000,3.0000,2.9000,3.0000,0,0,0
