<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HUT,20100512,13.6020,13.6560,12.7637,12.8719,223200,50.3000,50.5000,47.2000,47.6000,6000,0,0
HUT,20100511,13.7913,13.9535,13.1423,13.6290,529700,51.0000,51.6000,48.6000,50.4000,10000,0,0
HUT,20100510,13.0612,13.3586,12.9801,13.0341,340400,48.3000,49.4000,48.0000,48.2000,14000,0,0
HUT,20100507,13.7913,14.0617,12.9530,13.0071,328600,51.0000,52.0000,47.9000,48.1000,36500,0,0
HUT,20100506,13.7643,14.1969,13.5750,14.0617,277600,50.9000,52.5000,50.2000,52.0000,0,0,0
HUT,20100505,14.0617,14.0617,13.4398,13.5209,269500,52.0000,52.0000,49.7000,50.0000,15000,0,0
HUT,20100504,14.4673,14.8729,13.8994,14.2240,308300,53.5000,55.0000,51.4000,52.6000,73000,0,0
HUT,20100429,14.0617,14.4673,13.8454,14.1969,286200,52.0000,53.5000,51.2000,52.5000,20000,0,0
HUT,20100428,14.1969,14.6026,13.7372,14.0617,310600,52.5000,54.0000,50.8000,52.0000,10000,0,5000
HUT,20100427,13.5479,14.3321,13.5479,13.7913,261900,50.1000,53.0000,50.1000,51.0000,0,0,0
HUT,20100426,14.1969,14.4673,13.7642,13.9265,212900,52.5000,53.5000,50.9000,51.5000,0,0,0
HUT,20100422,15.6842,15.9276,14.1969,14.3321,374500,58.0000,58.9000,52.5000,53.0000,5000,0,0
HUT,20100421,14.6296,15.4408,14.6025,15.4408,735800,54.1000,57.1000,54.0000,57.1000,0,0,0
HUT,20100420,14.8730,14.8730,14.0888,14.4673,561800,55.0000,55.0000,52.1000,53.5000,0,0,0
HUT,20100419,15.2515,15.3597,14.3321,14.5485,684400,56.4000,56.8000,53.0000,53.8000,0,0,5000
HUT,20100416,15.0082,15.7924,14.8730,15.1163,740300,55.5000,58.4000,55.0000,55.9000,5000,0,0
