<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
KLF,20200512,1.8000,1.9000,1.8000,1.9000,5260353,1.8000,1.9000,1.8000,1.9000,0,0,0
KLF,20200511,1.8000,1.9000,1.7000,1.8000,10988200,1.8000,1.9000,1.7000,1.8000,0,0,0
KLF,20200508,2.0000,2.0000,1.8000,1.8000,13686222,2.0000,2.0000,1.8000,1.8000,0,0,0
KLF,20200507,1.8000,1.9000,1.7000,1.9000,5109145,1.8000,1.9000,1.7000,1.9000,0,0,0
KLF,20200506,1.8000,2.0000,1.8000,1.8000,15152621,1.8000,2.0000,1.8000,1.8000,0,0,2000
KLF,20200505,2.0000,2.0000,2.0000,2.0000,1169444,2.0000,2.0000,2.0000,2.0000,0,0,0
KLF,20200504,2.6000,2.6000,2.2000,2.2000,7858437,2.6000,2.6000,2.2000,2.2000,0,0,0
KLF,20200429,2.4000,2.4000,2.2000,2.4000,18759243,2.4000,2.4000,2.2000,2.4000,0,1000,0
KLF,20200428,2.0000,2.2000,1.8000,2.2000,14354962,2.0000,2.2000,1.8000,2.2000,0,1000,0
KLF,20200427,2.0000,2.0000,1.9000,2.0000,8918788,2.0000,2.0000,1.9000,2.0000,0,2000,0
KLF,20200424,1.9000,1.9000,1.7000,1.9000,11873261,1.9000,1.9000,1.7000,1.9000,0,0,0
KLF,20200423,1.8000,1.8000,1.7000,1.8000,8963509,1.8000,1.8000,1.7000,1.8000,75,900,0
KLF,20200422,1.7000,1.7000,1.6000,1.7000,7628153,1.7000,1.7000,1.6000,1.7000,0,0,0
KLF,20200421,1.6000,1.6000,1.5000,1.6000,9371731,1.6000,1.6000,1.5000,1.6000,0,0,0
KLF,20200420,1.5000,1.5000,1.5000,1.5000,3681097,1.5000,1.5000,1.5000,1.5000,0,0,0
KLF,20200417,1.4000,1.5000,1.4000,1.4000,1393613,1.4000,1.5000,1.4000,1.4000,0,0,0
KLF,20200416,1.5000,1.5000,1.4000,1.4000,801227,1.5000,1.5000,1.4000,1.4000,0,0,0
KLF,20200415,1.4000,1.5000,1.4000,1.5000,1088962,1.4000,1.5000,1.4000,1.5000,0,0,0
KLF,20200414,1.5000,1.5000,1.3000,1.4000,3808265,1.5000,1.5000,1.3000,1.4000,0,0,0
KLF,20200413,1.4000,1.5000,1.4000,1.4000,1119800,1.4000,1.5000,1.4000,1.4000,0,0,0
KLF,20200410,1.5000,1.5000,1.4000,1.4000,3604840,1.5000,1.5000,1.4000,1.4000,0,0,0
KLF,20200409,1.6000,1.6000,1.5000,1.5000,4310273,1.6000,1.6000,1.5000,1.5000,0,0,0
KLF,20200408,1.5000,1.6000,1.4000,1.6000,1710671,1.5000,1.6000,1.4000,1.6000,36,0,0
KLF,20200407,1.5000,1.5000,1.4000,1.5000,6129928,1.5000,1.5000,1.4000,1.5000,0,0,0
KLF,20200406,1.7000,1.7000,1.5000,1.5000,5351619,1.7000,1.7000,1.5000,1.5000,0,1000,0
KLF,20200403,1.6000,1.6000,1.5000,1.6000,6173661,1.6000,1.6000,1.5000,1.6000,0,1000,0
KLF,20200401,1.3000,1.5000,1.3000,1.5000,4536061,1.3000,1.5000,1.3000,1.5000,35000,0,0
KLF,20200331,1.4000,1.5000,1.4000,1.4000,6622080,1.4000,1.5000,1.4000,1.4000,18000,100,0
KLF,20200330,1.5000,1.5000,1.5000,1.5000,1591820,1.5000,1.5000,1.5000,1.5000,0,0,0
KLF,20200327,1.6000,1.7000,1.6000,1.6000,5649790,1.6000,1.7000,1.6000,1.6000,25000,0,0
KLF,20200326,1.7000,1.8000,1.7000,1.7000,6404832,1.7000,1.8000,1.7000,1.7000,0,310000,0
KLF,20200325,1.8000,1.9000,1.8000,1.8000,4986422,1.8000,1.9000,1.8000,1.8000,0,0,1299300
KLF,20200324,2.1000,2.2000,1.9000,1.9000,9604678,2.1000,2.2000,1.9000,1.9000,0,0,0
KLF,20200323,2.0000,2.2000,2.0000,2.1000,7534012,2.0000,2.2000,2.0000,2.1000,0,0,106000
KLF,20200320,1.8000,2.0000,1.8000,2.0000,6445171,1.8000,2.0000,1.8000,2.0000,54,0,6000
KLF,20200319,2.2000,2.2000,1.8000,1.9000,29773459,2.2000,2.2000,1.8000,1.9000,71,390000,100
KLF,20200318,2.0000,2.0000,2.0000,2.0000,1615247,2.0000,2.0000,2.0000,2.0000,0,0,0
KLF,20200317,1.9000,1.9000,1.9000,1.9000,3077218,1.9000,1.9000,1.9000,1.9000,0,0,0
KLF,20200316,1.8000,1.8000,1.7000,1.8000,2698679,1.8000,1.8000,1.7000,1.8000,0,300000,0
KLF,20200313,1.6000,1.7000,1.5000,1.7000,5059109,1.6000,1.7000,1.5000,1.7000,0,0,103700
KLF,20200312,1.7000,1.7000,1.6000,1.6000,3980256,1.7000,1.7000,1.6000,1.6000,0,0,400
KLF,20200311,1.6000,1.6000,1.5000,1.6000,5707565,1.6000,1.6000,1.5000,1.6000,0,0,0
KLF,20200310,1.5000,1.7000,1.5000,1.5000,5206213,1.5000,1.7000,1.5000,1.5000,28,0,1100
KLF,20200309,1.6000,1.6000,1.6000,1.6000,183740,1.6000,1.6000,1.6000,1.6000,0,0,0
KLF,20200306,1.6000,1.7000,1.5000,1.7000,2156372,1.6000,1.7000,1.5000,1.7000,0,0,0
KLF,20200305,1.7000,1.7000,1.6000,1.6000,5950670,1.7000,1.7000,1.6000,1.6000,0,0,0
KLF,20200304,1.6000,1.6000,1.6000,1.6000,1736438,1.6000,1.6000,1.6000,1.6000,0,0,0
KLF,20200303,1.5000,1.5000,1.5000,1.5000,1349110,1.5000,1.5000,1.5000,1.5000,4,0,0
KLF,20200302,1.4000,1.5000,1.4000,1.4000,861538,1.4000,1.5000,1.4000,1.4000,0,0,0
KLF,20200228,1.4000,1.5000,1.3000,1.4000,682346,1.4000,1.5000,1.3000,1.4000,0,0,0
KLF,20200227,1.4000,1.5000,1.3000,1.4000,455532,1.4000,1.5000,1.3000,1.4000,0,0,0
KLF,20200226,1.4000,1.4000,1.3000,1.4000,400136,1.4000,1.4000,1.3000,1.4000,0,0,0
KLF,20200225,1.3000,1.5000,1.3000,1.4000,914728,1.3000,1.5000,1.3000,1.4000,0,0,0
KLF,20200224,1.5000,1.5000,1.4000,1.4000,2143664,1.5000,1.5000,1.4000,1.4000,0,0,0
