<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIG,20170731,1.9000,2.0000,1.8000,2.0000,1044000,1.9000,2.0000,1.8000,2.0000,0,0,0
VIG,20170728,1.7000,1.9000,1.7000,1.9000,138305,1.7000,1.9000,1.7000,1.9000,0,0,0
VIG,20170727,1.9000,1.9000,1.8000,1.8000,260323,1.9000,1.9000,1.8000,1.8000,0,0,0
VIG,20170726,1.8000,1.9000,1.7000,1.9000,176000,1.8000,1.9000,1.7000,1.9000,0,0,0
VIG,20170725,1.8000,1.9000,1.7000,1.8000,256150,1.8000,1.9000,1.7000,1.8000,0,0,0
VIG,20170724,1.9000,1.9000,1.8000,1.8000,326900,1.9000,1.9000,1.8000,1.8000,0,0,6000
VIG,20170721,1.9000,1.9000,1.8000,1.9000,512000,1.9000,1.9000,1.8000,1.9000,0,0,0
VIG,20170720,2.0000,2.0000,1.8000,1.9000,122000,2.0000,2.0000,1.8000,1.9000,0,4700,0
VIG,20170719,1.9000,1.9000,1.8000,1.9000,444890,1.9000,1.9000,1.8000,1.9000,0,1000,0
VIG,20170718,1.9000,1.9000,1.8000,1.8000,274720,1.9000,1.9000,1.8000,1.8000,0,0,0
VIG,20170717,2.0000,2.0000,1.9000,1.9000,564443,2.0000,2.0000,1.9000,1.9000,0,0,0
VIG,20170714,2.0000,2.1000,1.9000,2.0000,488300,2.0000,2.1000,1.9000,2.0000,0,0,0
VIG,20170713,1.9000,2.0000,1.8000,2.0000,279910,1.9000,2.0000,1.8000,2.0000,0,0,0
VIG,20170712,1.7000,1.9000,1.7000,1.9000,610010,1.7000,1.9000,1.7000,1.9000,0,0,0
VIG,20170711,1.7000,1.9000,1.7000,1.8000,358900,1.7000,1.9000,1.7000,1.8000,0,0,0
VIG,20170710,1.9000,1.9000,1.8000,1.8000,849940,1.9000,1.9000,1.8000,1.8000,0,0,400
VIG,20170707,2.0000,2.0000,1.9000,1.9000,1148090,2.0000,2.0000,1.9000,1.9000,0,0,0
VIG,20170706,1.9000,1.9000,1.9000,1.9000,365800,1.9000,1.9000,1.9000,1.9000,0,0,0
VIG,20170705,1.8000,1.8000,1.8000,1.8000,912200,1.8000,1.8000,1.8000,1.8000,0,0,0
VIG,20170704,1.7000,1.7000,1.7000,1.7000,480605,1.7000,1.7000,1.7000,1.7000,0,0,0
VIG,20170703,1.7000,1.7000,1.6000,1.6000,105230,1.7000,1.7000,1.6000,1.6000,0,0,0
VIG,20170630,1.7000,1.7000,1.6000,1.6000,189500,1.7000,1.7000,1.6000,1.6000,0,0,0
VIG,20170629,1.7000,1.7000,1.5000,1.6000,179100,1.7000,1.7000,1.5000,1.6000,0,0,0
VIG,20170628,1.7000,1.7000,1.6000,1.6000,143800,1.7000,1.7000,1.6000,1.6000,0,0,0
VIG,20170627,1.7000,1.7000,1.5000,1.6000,211800,1.7000,1.7000,1.5000,1.6000,0,0,0
VIG,20170626,1.7000,1.7000,1.5000,1.6000,115100,1.7000,1.7000,1.5000,1.6000,0,5500,0
VIG,20170623,1.8000,1.8000,1.6000,1.6000,154100,1.8000,1.8000,1.6000,1.6000,0,0,0
VIG,20170622,1.7000,1.7000,1.6000,1.7000,270290,1.7000,1.7000,1.6000,1.7000,0,0,0
VIG,20170621,1.7000,1.7000,1.6000,1.6000,163395,1.7000,1.7000,1.6000,1.6000,0,0,0
VIG,20170620,1.7000,1.7000,1.6000,1.6000,56310,1.7000,1.7000,1.6000,1.6000,0,0,0
VIG,20170619,1.7000,1.7000,1.6000,1.6000,89500,1.7000,1.7000,1.6000,1.6000,0,0,0
VIG,20170616,1.7000,1.7000,1.5000,1.6000,107500,1.7000,1.7000,1.5000,1.6000,0,0,0
VIG,20170615,1.7000,1.7000,1.5000,1.6000,180700,1.7000,1.7000,1.5000,1.6000,0,0,0
